# Warden 0.1.0 - frontend dependency license report (offline)
# Support: docs/SECURITY.md (section 10/13), docs/TEST_STRATEGY.md section 4 (release gate)
# Generated (UTC date): 2026-09-04
# Generator: scripts/frontend_licenses.py (npm ls --json + node_modules package.json walk)
# Interpreter: C:\Users\franck\Documents\ChatGPT\warden\backend\.venv\Scripts\python.exe
# Source of truth for the package set: frontend/package-lock.json (npm ci) and the installed
#   node_modules tree; scope = full installed tree including dev tooling. The shipped nginx
#   image runs `npm ci --omit=dev` (release pipeline), so the runtime-only set is a subset
#   of this report - over-covering is intentional and honest.
# License value order: package.json license (string) -> licenses[] -> UNKNOWN.
# UNKNOWN licenses must be reviewed manually before release.

packages on disk: 300; npm ls --json set: 300;
on disk but not in npm tree: 1; in npm tree but no package.json found: 1;
UNKNOWN licenses: 0
name	version	license	copies
@babel/code-frame	7.29.7	MIT	1
@babel/helper-string-parser	7.29.7	MIT	1
@babel/helper-validator-identifier	7.29.7	MIT	1
@babel/parser	7.29.8	MIT	1
@babel/types	7.29.8	MIT	1
@ctrl/tinycolor	4.2.0	MIT	1
@element-plus/icons-vue	2.3.2	MIT	1
@eslint-community/eslint-utils	4.10.1	MIT	1
@eslint-community/regexpp	4.12.2	MIT	1
@eslint/config-array	0.23.5	Apache-2.0	1
@eslint/config-helpers	0.7.0	Apache-2.0	1
@eslint/core	1.2.1	Apache-2.0	1
@eslint/js	10.0.1	MIT	1
@eslint/object-schema	3.0.5	Apache-2.0	1
@eslint/plugin-kit	0.7.2	Apache-2.0	1
@floating-ui/core	1.8.0	MIT	1
@floating-ui/dom	1.8.0	MIT	1
@floating-ui/utils	0.2.12	MIT	1
@humanfs/core	0.19.2	Apache-2.0	1
@humanfs/node	0.16.8	Apache-2.0	1
@humanfs/types	0.15.0	Apache-2.0	1
@humanwhocodes/module-importer	1.0.1	Apache-2.0	1
@humanwhocodes/retry	0.4.3	Apache-2.0	1
@jridgewell/gen-mapping	0.3.13	MIT	1
@jridgewell/remapping	2.3.5	MIT	1
@jridgewell/resolve-uri	3.1.2	MIT	1
@jridgewell/sourcemap-codec	1.6.0	MIT	1
@jridgewell/trace-mapping	0.3.31	MIT	1
@nodelib/fs.scandir	2.1.5	MIT	1
@nodelib/fs.stat	2.0.5	MIT	1
@nodelib/fs.walk	1.2.8	MIT	1
@one-ini/wasm	0.2.1	MIT	1
@oxc-project/types	0.147.0	MIT	1
@pkgr/core	0.3.6	MIT	1
@playwright/test	1.62.1	Apache-2.0	1
@redocly/ajv	8.11.2	MIT	1
@redocly/config	0.22.0	MIT	1
@redocly/openapi-core	1.34.19	MIT	1
@rolldown/binding-win32-x64-msvc	1.2.6	MIT	1
@rolldown/pluginutils	1.0.1	MIT	1
@standard-schema/spec	1.1.0	MIT	1
@sxzz/popperjs-es	2.11.8	MIT	1
@types/chai	5.2.3	MIT	1
@types/deep-eql	4.0.2	MIT	1
@types/esrecurse	4.3.1	MIT	1
@types/estree	1.0.9	MIT	1
@types/json-schema	7.0.15	MIT	1
@types/lodash	4.17.25	MIT	1
@types/lodash-es	4.17.12	MIT	1
@types/node	24.13.3	MIT	1
@types/web-bluetooth	0.0.21	MIT	1
@types/whatwg-mimetype	3.0.2	MIT	1
@types/ws	8.18.1	MIT	1
@typescript-eslint/eslint-plugin	8.69.0	MIT	1
@typescript-eslint/parser	8.69.0	MIT	1
@typescript-eslint/project-service	8.69.0	MIT	2
@typescript-eslint/scope-manager	8.69.0	MIT	1
@typescript-eslint/tsconfig-utils	8.69.0	MIT	2
@typescript-eslint/type-utils	8.69.0	MIT	1
@typescript-eslint/types	8.69.0	MIT	1
@typescript-eslint/typescript-estree	8.69.0	MIT	2
@typescript-eslint/utils	8.69.0	MIT	1
@typescript-eslint/visitor-keys	8.69.0	MIT	1
@vitejs/plugin-vue	6.0.8	MIT	1
@vitest/expect	4.1.11	MIT	1
@vitest/mocker	4.1.11	MIT	1
@vitest/pretty-format	4.1.11	MIT	1
@vitest/runner	4.1.11	MIT	1
@vitest/snapshot	4.1.11	MIT	1
@vitest/spy	4.1.11	MIT	1
@vitest/utils	4.1.11	MIT	1
@volar/language-core	2.4.28	MIT	1
@volar/source-map	2.4.28	MIT	1
@volar/typescript	2.4.28	MIT	1
@vue-macros/common	3.1.4	MIT	1
@vue/compiler-core	3.5.42	MIT	1
@vue/compiler-dom	3.5.42	MIT	1
@vue/compiler-sfc	3.5.42	MIT	1
